id,class_name_id,creator_id,backend_name,name,show_name,line_color_name,color_category,line,line_color,line2,line_color2,line3,line_color3,grain_direction,wood_color1,wood_color2,worktop_color,tabletop_color,tvboard_set_color,tender_task_color,sort_no,visible,create_date,update_date,discriminator_type
"1","3",,"UAアッシュベージュ(UA-AE)","UAアッシュベージュ(UA-AE)",,,,,,,,,,,,"A9",,,,,"1","1","2020-09-25 10:14:52","2020-10-28 04:06:11","classcategory"
"2","3",,"UAプレミアムホワイト(UA-PR)","UAプレミアムホワイト(UA-PR)",,,,,,,,,,,,"A10",,,,,"1","1","2020-09-25 10:14:52","2020-10-28 04:06:30","classcategory"
"3","3",,"UAオニキスグレー(UA-OG)","UAオニキスグレー(UA-OG)",,,,,,,,,,,,"A11",,,,,"1","1","2020-09-25 10:14:52","2020-10-28 04:07:07","classcategory"
"4","3",,"ELウォルナット(EL-WN)","ELウォルナット(EL-WN)",,,,,,,,,,,,"A12",,,,,"1","1","2020-09-25 10:14:52","2020-10-28 04:07:30","classcategory"
"5","3",,"ELノッティホワイト(EL-KW)","ELノッティホワイト(EL-KW)",,,,,,,,,,,,"A13",,,,,"1","1","2020-09-25 10:14:52","2020-10-28 04:07:51","classcategory"
"6","3",,"ELノッティブラウン(EL-KB)","ELノッティブラウン(EL-KB)",,,,,,,,,,,,"A14",,,,,"1","1","2020-09-25 10:14:52","2020-10-28 04:08:15","classcategory"
"7","3",,"ELエルムナチュラル(EL-EN)","ELエルムナチュラル(EL-EN)",,,,,,,,,,,,"A15",,,,,"1","1","2020-09-25 10:14:52","2020-10-28 04:08:33","classcategory"
"8","3",,"ELエルムダーク(EL-ED)","ELエルムダーク(EL-ED)",,,,,,,,,,,,"A16",,,,,"1","1","2020-09-25 10:14:52","2020-10-28 04:08:50","classcategory"
"9","3",,"ELアカシアベージュ(EL-AB)","ELアカシアベージュ(EL-AB)",,,,,,,,,,,,"A17",,,,,"1","1","2020-09-25 10:14:52","2020-10-28 04:09:17","classcategory"
"10","3",,"GDベトングレー(GD-BG)","GDベトングレー(GD-BG)",,,,,,,,,,,,"A18",,,,,"1","1","2020-09-25 10:14:52","2020-10-28 04:09:43","classcategory"
"11","3",,"グレー(KH-G)","グレー(KH-G)",,,,,,,,,,,,"A19",,,,,"1","1","2020-09-25 10:14:52","2020-10-28 04:09:59","classcategory"
"12","4",,"メルクリオ","メルクリオ","メルクリオ","GD ｺﾞﾃﾞｰﾚ ﾒﾙｸﾘｵ","抽象柄","GD","02","GD","02","GD","02","0","01","A8","G3","G3","02","G3","1","1","2020-09-25 10:14:52","2020-10-28 03:58:59","classcategory"
"13","4",,"ベトングレー","ベトングレー","ベトングレー","GD ｺﾞﾃﾞｰﾚ ﾍﾞﾄﾝｸﾞﾚｰ","抽象柄","GD","01","GD","01","GD","01","0","01","C2","G2","G2","02","G2","1","1","2020-09-25 10:14:52","2020-10-28 03:42:49","classcategory"
"14","4",,"アッシュベージュ","アッシュベージュ","アッシュベージュ","UA ﾐﾀﾓﾘｰｾﾞ ｱｯｼｭBE","単色","UA","02","UA","02","UA","02","0","01","A9","C7","C7","01","C7","1","1","2020-09-25 10:14:52","2020-10-28 03:44:52","classcategory"
"15","4",,"プレミアムホワイト","プレミアムホワイト","プレミアムホワイト","UA ﾐﾀﾓﾘｰｾﾞ ﾌﾟﾚﾐｱﾑWH","単色","UA","03","UA","03","UA","03","0","01","B0","C8","C8","01","C8","1","1","2020-09-25 10:14:52","2020-10-28 03:47:33","classcategory"
"16","4",,"オニキスグレー","オニキスグレー","オニキスグレー","UA ﾐﾀﾓﾘｰｾﾞ ｵﾆｷｽｸﾞﾚｰ","単色","UA","05","UA","05","UA","05","0","01","B2","D0","D0","02","D0","1","1","2020-09-25 10:14:52","2020-10-28 03:50:14","classcategory"
"17","4",,"ノッティホワイト","ノッティホワイト","ノッティホワイト","EM ﾓﾃﾞﾙﾅ ﾉｯﾃｨﾎﾜｲﾄ","単色","EL","02","EL","02","EM","02","0","01","B8","F0","F0","01","D7","1","1","2020-09-25 10:14:52","2020-10-28 03:54:30","classcategory"
"18","4",,"ノッティナチュラル","ノッティナチュラル","ノッティナチュラル","EM ﾓﾃﾞﾙﾅ ﾉｯﾃｨﾅﾁｭﾗﾙ","木目柄","EL","03","EL","03","EM","03","0","01","未設定","F1","F1","01","D8","1","1","2020-09-25 10:14:52","2020-10-28 03:56:49","classcategory"
"19","4",,"ノッティブラウン","ノッティブラウン","ノッティブラウン","EM ﾓﾃﾞﾙﾅ ﾉｯﾃｨﾌﾞﾗｳﾝ","木目柄","EL","04","EL","04","UA","04","0","01","B9","F2","F2","01","D9","1","1","2020-09-25 10:14:52","2020-10-28 03:58:17","classcategory"
